user_id,rec_i
633,"[1075368, 8090537, 12302069, 1102416, 8090536]"
635,"[1026118, 854852, 7168026, 1106523, 901666]"
636,"[5590613, 5585510, 835300, 5592931, 865174]"
637,"[926905, 1037840, 1043494, 1131438, 1035676]"
638,"[1002850, 971922, 944534, 919534, 12171656]"
640,"[849202, 1034176, 1105917, 1106523, 5585510]"
641,"[1104349, 1126899, 1070820, 910473, 1092588]"
643,"[1042942, 944534, 6534035, 12946027, 1023720]"
644,"[5569471, 1005274, 989069, 1028995, 901776]"
647,"[8090536, 1043751, 819978, 8090537, 1103105]"
648,"[839419, 1026118, 945662, 5578547, 903800]"
650,"[1029743, 1106523, 5569230, 916122, 844179]"
652,"[832678, 1102416, 1067695, 1051211, 856827]"
653,"[1037840, 1132771, 5569471, 1043751, 1056509]"
654,"[944137, 1034176, 1098284, 1040807, 5568489]"
655,"[1112238, 856942, 995628, 1043494, 5591083]"
656,"[926905, 1026118, 9881593, 1082185, 1037840]"
658,"[5568197, 885290, 6602697, 1127758, 1018740]"
659,"[1104349, 865026, 925862, 1067695, 12810393]"
660,"[1043787, 953561, 971922, 12988031, 823775]"
661,"[1138292, 12262978, 879504, 999104, 5569230]"
662,"[1070272, 983584, 1083446, 850102, 1103105]"
663,"[998206, 5570383, 8090521, 8090509, 1082185]"
664,"[1028891, 892573, 1100972, 933835, 1002771]"
665,"[1038985, 935317, 1131344, 1042942, 5585510]"
666,"[957232, 957063, 12946027, 904997, 1070845]"
667,"[12946027, 1072523, 1092303, 910673, 1016800]"
668,"[5569471, 6533936, 859427, 8090536, 1028891]"
669,"[1126899, 880427, 1082185, 951412, 1018740]"
670,"[909268, 909714, 971922, 933835, 1092303]"
671,"[1097001, 879504, 1059902, 982790, 1128016]"
672,"[8090532, 983584, 916993, 8090537, 6533608]"
673,"[1082185, 1025611, 925862, 906838, 1100972]"
674,"[934399, 1122358, 1043494, 871061, 956486]"
675,"[910673, 1059902, 1121384, 944534, 1022254]"
676,"[917033, 1013928, 1016800, 926905, 957951]"
677,"[995478, 1067695, 916990, 1108094, 1137775]"
679,"[8090521, 1013928, 1062002, 1110218, 5569471]"
680,"[1055504, 8177622, 823704, 1104349, 8090513]"
681,"[850102, 890695, 856252, 882604, 892531]"
684,"[1050851, 961979, 907099, 1042544, 8273833]"
685,"[1015539, 1038985, 6534077, 1050851, 1101010]"
686,"[982469, 946839, 823704, 971922, 1131438]"
687,"[7168026, 8090521, 1130375, 1058404, 5569230]"
690,"[1037840, 1031316, 835098, 896085, 883003]"
692,"[1098284, 1135834, 1019643, 865026, 995478]"
693,"[1104349, 1044188, 8090536, 1130375, 1115576]"
694,"[1037840, 879504, 1029743, 1101010, 1031316]"
695,"[1122358, 892531, 1043494, 995965, 933835]"
696,"[1126899, 1092588, 983584, 901062, 971922]"
697,"[1070820, 1106271, 1080853, 6602729, 8203834]"
698,"[995965, 8273833, 8090537, 839656, 1026118]"
699,"[823775, 917033, 1043751, 982790, 936355]"
700,"[1101010, 1124695, 1021116, 935317, 944139]"
701,"[10344585, 5569374, 944137, 835098, 839656]"
702,"[8177622, 865456, 960732, 9527159, 8090521]"
703,"[901776, 946995, 5582712, 1043751, 9881593]"
705,"[6442594, 999104, 1106523, 1081177, 1070820]"
706,"[834117, 839656, 910473, 5569471, 8090532]"
707,"[5569471, 1057102, 856942, 1013167, 902172]"
708,"[1092303, 996070, 948832, 845208, 838186]"
709,"[1075368, 1138292, 850102, 993638, 10344585]"
710,"[1021116, 944139, 999714, 1106523, 1044078]"
711,"[1037840, 1098284, 907099, 1026118, 983584]"
712,"[1006878, 823775, 1070820, 921504, 5569374]"
713,"[1075368, 885290, 10344585, 880427, 5568197]"
714,"[8090537, 1126899, 8177622, 1094308, 1055504]"
715,"[865026, 1087102, 1135834, 885863, 12946027]"
716,"[824758, 1092588, 1057102, 985999, 999104]"
717,"[6442594, 910473, 878715, 1021324, 982790]"
718,"[1097001, 944486, 5585510, 1127716, 6533936]"
719,"[933835, 1138292, 819978, 1040807, 865026]"
720,"[1055504, 865174, 909714, 863447, 5563693]"
721,"[1126899, 6632283, 960732, 910473, 892531]"
722,"[1080853, 854852, 882247, 887102, 865174]"
723,"[1082212, 999104, 909268, 6632283, 1009187]"
724,"[1062002, 1062128, 6602729, 6602697, 857503]"
725,"[879504, 957063, 1126899, 1070845, 6034857]"
726,"[1101706, 880427, 1000237, 995965, 13506200]"
727,"[1038663, 836445, 957736, 885290, 1106523]"
728,"[1102416, 1013928, 986912, 1042942, 1037840]"
729,"[1029743, 1106523, 5569230, 916122, 844179]"
730,"[1126899, 1006878, 960732, 1122358, 1134810]"
731,"[916990, 8090532, 1028995, 986912, 969568]"
732,"[856942, 5569471, 5569374, 1070820, 957232]"
733,"[1042942, 5569471, 8090532, 999779, 838186]"
734,"[6391381, 1005274, 1070702, 12262830, 1055504]"
735,"[949023, 982469, 1106523, 841365, 1082185]"
736,"[830503, 1021324, 1106271, 1135222, 892531]"
737,"[1121393, 976199, 917033, 1127758, 1041796]"
740,"[1051516, 854754, 1024306, 996070, 6034857]"
741,"[885290, 1112238, 8203834, 12946027, 925862]"
742,"[1098284, 1037840, 1043494, 1106523, 983584]"
743,"[1059902, 1051323, 1044188, 1122358, 1135222]"
744,"[1051323, 1024306, 1101706, 883003, 833724]"
745,"[854754, 854852, 997796, 846823, 1026118]"
747,"[8090509, 8090537, 1137775, 9836106, 1025535]"
750,"[907631, 12301100, 1070845, 919534, 845307]"
751,"[947201, 1027168, 1037840, 1042544, 896862]"
752,"[986912, 1062128, 933835, 1075368, 835098]"
753,"[1009187, 901776, 1075368, 1026118, 896085]"
754,"[1062002, 1005274, 9242918, 1126899, 901062]"
755,"[1127716, 1070845, 8090536, 1002771, 971922]"
756,"[1038985, 1037840, 1134810, 1038663, 865705]"
757,"[5569471, 947201, 825365, 838186, 852856]"
758,"[916990, 5568249, 912704, 1029743, 1106523]"
759,"[906844, 5568447, 856942, 6391381, 1119405]"
761,"[909714, 1075214, 1056509, 1106523, 1062128]"
762,"[986912, 1101706, 1070820, 5582712, 9527159]"
764,"[961979, 965766, 839656, 10344585, 878996]"
765,"[1050851, 1075368, 949965, 12171656, 946839]"
766,"[916990, 901062, 1026118, 1127831, 946995]"
767,"[1104349, 999198, 1102067, 964521, 1070845]"
768,"[834117, 913210, 993638, 1112238, 949294]"
769,"[1138292, 1103105, 1070272, 8293447, 890909]"
770,"[5569374, 5569230, 986912, 6602697, 902172]"
771,"[1108094, 940947, 6602697, 6034857, 819978]"
772,"[1029743, 1106523, 5569230, 916122, 844179]"
773,"[909714, 1092588, 10344585, 6548453, 938300]"
774,"[839419, 910473, 1012587, 1127758, 1059902]"
776,"[1101010, 1068292, 895295, 926905, 1040807]"
777,"[1028891, 6533608, 923670, 6602697, 1098284]"
779,"[6533362, 1009187, 5568489, 5567702, 976199]"
780,"[1026118, 995628, 6602729, 1105488, 1098248]"
781,"[12946027, 910673, 871061, 854405, 836445]"
782,"[12988031, 1137346, 8090521, 1055504, 5568378]"
784,"[5569230, 1102416, 983584, 1132771, 1081177]"
785,"[5568249, 1126899, 1051516, 930118, 854754]"
786,"[878715, 1065538, 972665, 5569230, 986912]"
787,"[1082212, 823775, 999104, 957736, 5567702]"
788,"[998206, 8090509, 850102, 8090537, 5569845]"
789,"[921504, 883003, 909268, 1101010, 9296919]"
790,"[1043494, 1035676, 1038985, 1005274, 9881593]"
792,"[892573, 976199, 5569374, 8177622, 843464]"
793,"[947201, 8090539, 5570383, 872137, 946839]"
794,"[865026, 8090532, 896613, 1126899, 1042907]"
795,"[1043751, 910032, 1028995, 1122358, 1138292]"
796,"[916990, 993638, 896613, 1024306, 1055504]"
797,"[1062128, 5569471, 1005274, 1048257, 6632283]"
798,"[6534030, 1016800, 986912, 916993, 1026118]"
799,"[946839, 1126899, 9296919, 6534077, 1019247]"
800,"[995965, 9677236, 8090532, 923670, 8090537]"
801,"[9245106, 1082185, 1062128, 6463742, 857503]"
802,"[986912, 983584, 839656, 8090537, 1041796]"
803,"[956486, 861279, 1044078, 1123022, 907631]"
804,"[1101010, 5587656, 8090521, 957063, 1013928]"
805,"[949023, 1038663, 870547, 1068292, 899624]"
806,"[8090536, 1082212, 5569471, 948832, 999250]"
807,"[838186, 6034857, 862799, 999198, 6534030]"
808,"[1016800, 6395907, 963835, 908318, 12171656]"
809,"[961979, 12946027, 8090440, 993638, 1099089]"
811,"[1062002, 866871, 1006184, 850102, 5590613]"
812,"[896862, 885290, 1059902, 1067695, 1021116]"
813,"[6534030, 1050851, 6533608, 946839, 883932]"
814,"[825365, 854405, 6548453, 907631, 999104]"
816,"[1075368, 1055425, 856942, 901062, 6442594]"
817,"[1092588, 1070820, 8090440, 1075214, 865705]"
818,"[6602697, 6602729, 964521, 1082212, 839419]"
820,"[8090509, 1037840, 5568489, 12648296, 995628]"
822,"[940947, 839656, 1131344, 1127758, 832678]"
823,"[5585510, 913210, 6534077, 1138292, 1103105]"
824,"[1016800, 963971, 1106523, 1074333, 944486]"
825,"[1119405, 971922, 1132771, 913210, 12731436]"
826,"[1037840, 934399, 1029743, 1106523, 5569230]"
829,"[1101010, 1132771, 1018740, 1137775, 882604]"
831,"[957736, 1069003, 890695, 1128016, 1043494]"
832,"[892531, 1108094, 1126899, 832678, 1127716]"
836,"[916993, 1042544, 1108094, 878715, 1037840]"
838,"[1112238, 832678, 1065538, 825994, 1131438]"
839,"[1082212, 901776, 1019643, 12171656, 997796]"
840,"[1038985, 1112238, 1135258, 1000237, 1040807]"
841,"[917033, 1128240, 1042942, 926905, 970747]"
842,"[1037840, 986912, 1031316, 999779, 5563693]"
843,"[1026118, 1042544, 5568489, 1081177, 1103105]"
844,"[1026118, 923670, 1127831, 1051468, 9835509]"
845,"[1055425, 6533362, 885290, 944836, 825994]"
846,"[8090521, 8090536, 1119761, 890695, 1075368]"
847,"[1005274, 1062128, 1023720, 963835, 946839]"
849,"[854754, 961979, 1058404, 995478, 9242918]"
850,"[957232, 823990, 1127758, 1006878, 8203834]"
851,"[1131438, 6395907, 986912, 1012587, 1020581]"
852,"[1126899, 1062128, 901776, 901062, 1005274]"
853,"[1082990, 6602729, 12171656, 1043787, 1005274]"
854,"[7442008, 12946027, 1027168, 823990, 1123842]"
855,"[916993, 1083446, 986912, 1050851, 838186]"
856,"[1127758, 12946027, 990797, 1022254, 944534]"
857,"[885290, 910473, 8090521, 1071342, 8090537]"
858,"[1070820, 910473, 849202, 882604, 1128016]"
859,"[1075368, 5569471, 6395907, 5569230, 832678]"
860,"[916990, 965766, 1082185, 944486, 866211]"
861,"[1072523, 5585510, 836445, 1082185, 1062002]"
862,"[1038663, 999779, 908318, 832678, 5585510]"
863,"[5569135, 1046756, 1119761, 819308, 910673]"
864,"[1101010, 8090521, 1132771, 983584, 1137346]"
865,"[1075368, 1038663, 899624, 1094308, 947858]"
866,"[983584, 1037840, 8090537, 1106523, 5585510]"
867,"[983584, 1075368, 1055504, 825365, 986912]"
868,"[856942, 5569471, 8090536, 834117, 8090521]"
869,"[5592931, 1127758, 981086, 949023, 12946027]"
871,"[854754, 839656, 1082212, 834117, 1005274]"
873,"[1122358, 1019247, 1025611, 1006878, 1083787]"
875,"[5569471, 951412, 1097001, 1106271, 1126899]"
876,"[916993, 1043787, 1122358, 6534030, 1023720]"
877,"[1126899, 859427, 1000237, 1055504, 871061]"
878,"[838186, 846823, 8090537, 1083787, 1131344]"
879,"[839656, 880427, 12988031, 6533362, 8090536]"
880,"[8090513, 910673, 1106271, 1112238, 991223]"
881,"[890695, 1012587, 946839, 902094, 990797]"
882,"[957063, 8090521, 1137775, 1132771, 1043751]"
883,"[1005274, 8090440, 965772, 998444, 8090513]"
884,"[1015539, 986912, 1097001, 1031316, 1042942]"
885,"[1040807, 5587656, 8090509, 1082185, 5569327]"
886,"[1013928, 1070820, 933835, 916990, 1126899]"
887,"[957232, 5585510, 1127758, 1005274, 880150]"
888,"[10344585, 1000237, 856252, 901062, 859427]"
889,"[880427, 1055425, 1019643, 8090532, 1070820]"
891,"[892573, 1028891, 1127179, 983584, 909268]"
893,"[5590613, 872137, 1100972, 925862, 895295]"
894,"[8177622, 6602697, 1024306, 854852, 930118]"
895,"[1112238, 999104, 1002771, 907099, 866211]"
896,"[913210, 948670, 1055425, 819978, 854754]"
897,"[5569374, 909268, 8090513, 1070845, 8090541]"
898,"[1097001, 972665, 909268, 880427, 1026118]"
899,"[892531, 919534, 983584, 865528, 861279]"
900,"[986912, 10149640, 1102416, 1018740, 865026]"
901,"[1028891, 895295, 854754, 1132771, 12302069]"
903,"[880427, 1126899, 6034857, 1005274, 1138443]"
904,"[836445, 839656, 1043494, 966684, 1002850]"
905,"[934399, 910473, 1101706, 965842, 9835509]"
906,"[1127758, 948670, 8090541, 839419, 1082185]"
907,"[1092588, 986912, 8090539, 961979, 985999]"
908,"[1070820, 1104343, 952972, 971922, 1138443]"
909,"[6533936, 9935616, 976199, 6534480, 1056509]"
910,"[5582712, 940947, 1044188, 827656, 9242918]"
911,"[10344585, 5563693, 1092303, 901062, 1055425]"
913,"[824758, 1134810, 10344585, 1070820, 957736]"
914,"[986912, 12302069, 1002771, 979707, 998206]"
915,"[880150, 1112238, 957232, 1068719, 825749]"
916,"[1075368, 854754, 6602697, 5568249, 8090532]"
919,"[1094308, 983584, 993638, 1070272, 1074333]"
920,"[1097001, 982469, 1106523, 832678, 949294]"
922,"[1058404, 1126899, 880427, 1026118, 908318]"
923,"[982469, 1042544, 1013928, 1082212, 1000753]"
924,"[947201, 1067695, 6534035, 8090537, 849202]"
925,"[944836, 839656, 1070497, 1126899, 6034857]"
926,"[1138443, 839656, 971922, 995478, 1000237]"
927,"[986912, 965267, 930118, 1005274, 5569374]"
928,"[1092303, 829852, 1046756, 835098, 1115175]"
929,"[1070820, 946839, 882604, 1134810, 896862]"
931,"[1042544, 1069003, 9707240, 1040807, 1122358]"
932,"[982469, 8090537, 1127831, 6034857, 1085983]"
933,"[1042544, 5569327, 1021324, 8090537, 983584]"
934,"[885863, 1135258, 933835, 999779, 935317]"
935,"[1132771, 935317, 832678, 913210, 833724]"
936,"[961979, 983584, 9677236, 916990, 960732]"
937,"[1126899, 1134810, 839656, 1021116, 1110218]"
938,"[1075368, 940947, 825994, 854405, 892531]"
939,"[1102416, 1031316, 949294, 1128240, 1103105]"
940,"[1037840, 839656, 944486, 1050851, 8293447]"
941,"[5567702, 890695, 9553397, 5569327, 9677236]"
942,"[1015539, 951412, 12946027, 1098284, 935317]"
943,"[5592931, 1012587, 836445, 906838, 9553288]"
944,"[1101010, 1132771, 9553397, 865528, 1098248]"
945,"[879504, 1043751, 946839, 835098, 1082185]"
946,"[1093413, 832678, 885290, 901776, 825994]"
947,"[8090539, 12731714, 865026, 883003, 8203834]"
949,"[971922, 940947, 933835, 859154, 5568378]"
951,"[823704, 825994, 866355, 965766, 940947]"
952,"[1075368, 1037840, 843464, 892531, 998119]"
953,"[999104, 965842, 6034857, 5569135, 5574377]"
954,"[1029743, 1106523, 5569230, 916122, 844179]"
955,"[839656, 1044188, 832678, 946839, 846823]"
956,"[1104349, 1070820, 1136719, 1082212, 895166]"
957,"[986912, 827656, 8090537, 5592931, 832678]"
959,"[1102416, 1127758, 5563693, 1092303, 5578547]"
960,"[1126899, 1070820, 917033, 957951, 8090536]"
961,"[1002771, 986912, 1005274, 1062128, 1070820]"
962,"[854754, 940947, 1005274, 1027168, 831628]"
964,"[1044188, 1074754, 8090537, 1042544, 1051323]"
965,"[12301100, 8090537, 944534, 944139, 8090521]"
966,"[1074754, 838186, 1012587, 1042438, 1029743]"
968,"[1075368, 1108094, 878715, 983584, 1016800]"
970,"[940947, 1110218, 948086, 1094308, 993638]"
971,"[1075368, 906844, 1108094, 6602697, 819978]"
972,"[6632283, 1136719, 832678, 982790, 1062128]"
973,"[944836, 12731436, 880427, 871061, 1070272]"
974,"[944137, 1016800, 5585510, 9296919, 999779]"
975,"[5569471, 5569327, 995965, 892531, 934399]"
976,"[902172, 971922, 999104, 1127831, 1128016]"
977,"[965842, 1102067, 8177622, 909268, 834117]"
978,"[934399, 999104, 1070820, 1062002, 5570383]"
979,"[944836, 1038985, 1019643, 1122358, 1062002]"
980,"[1127758, 1012587, 1042942, 865174, 1074333]"
981,"[5582712, 1082212, 940947, 919423, 885290]"
982,"[1075368, 5563693, 1038663, 999779, 1072523]"
983,"[1075368, 8090521, 834117, 1102416, 1058404]"
984,"[5569471, 944836, 7442008, 995628, 8273833]"
985,"[5574377, 1040807, 999104, 880150, 7139529]"
986,"[1043494, 8090440, 5569845, 6534077, 8090521]"
987,"[986912, 1070820, 849202, 1034176, 1046756]"
988,"[1070820, 1044188, 926905, 1127716, 5569374]"
989,"[8090509, 895295, 1122358, 986912, 8203834]"
992,"[9677236, 960732, 913210, 12301100, 857503]"
993,"[8090539, 5570383, 991223, 1070845, 865026]"
994,"[909268, 8090521, 12731714, 1132771, 1128240]"
996,"[1101010, 1009187, 948670, 1040807, 1135834]"
998,"[1037840, 8090521, 8090509, 1097001, 8090537]"
999,"[983584, 917033, 944139, 885290, 6632283]"
1000,"[986912, 957232, 961979, 6034857, 896085]"
1001,"[1135834, 890695, 1051211, 12301109, 834117]"
1002,"[946839, 8090532, 5569471, 1051211, 1050851]"
1004,"[859154, 964521, 995628, 1046587, 849202]"
1005,"[1094308, 8090532, 8090537, 12731714, 1119761]"
1006,"[1051516, 5569471, 5568489, 1115175, 5569845]"
1007,"[865174, 944486, 8090537, 983584, 5569327]"
1008,"[910473, 1002850, 993638, 1072968, 12301100]"
1010,"[1058404, 971922, 6463775, 1042942, 1070820]"
1011,"[951412, 944836, 940947, 1126899, 1062128]"
1014,"[910473, 1121393, 948670, 1038985, 1105917]"
1015,"[857503, 832678, 916993, 6602697, 1055425]"
1016,"[1126899, 6602729, 951412, 6602697, 830503]"
1017,"[8090537, 1058404, 890695, 948086, 944139]"
1018,"[5569374, 1070820, 8090521, 1034176, 931255]"
1019,"[1026118, 1068292, 986912, 999250, 1125278]"
1020,"[833724, 1038985, 1070820, 10344585, 8203834]"
1021,"[10344585, 1122358, 1016800, 917033, 1062002]"
1023,"[963835, 1062002, 919423, 1019643, 957736]"
1024,"[1097001, 1031316, 999779, 5582712, 1043751]"
1025,"[8090521, 8090537, 983584, 1097001, 1128240]"
1027,"[1132771, 862799, 1051323, 1101010, 1016800]"
1029,"[1040807, 885290, 964521, 1048257, 1126899]"
1030,"[823775, 934399, 1070820, 1135834, 982790]"
1032,"[1029743, 1106523, 5569230, 916122, 844179]"
1033,"[1051516, 5569374, 5568249, 1065538, 5569471]"
1034,"[907099, 1126899, 934639, 825749, 7168026]"
1036,"[1082212, 1067695, 6602697, 836445, 948832]"
1037,"[887102, 961979, 871061, 936355, 957951]"
1039,"[972665, 1040807, 1021324, 835098, 1058404]"
1040,"[1075368, 910473, 1126899, 8090532, 10344585]"
1041,"[948832, 972143, 999779, 1093413, 1051323]"
1042,"[856252, 906838, 985999, 948670, 951412]"
1045,"[971922, 935317, 834117, 931255, 913210]"
1046,"[1126899, 6034857, 1055504, 5563693, 964521]"
1047,"[12301100, 1040807, 8090537, 8177622, 8291322]"
1048,"[916993, 999104, 1101010, 5569374, 1092588]"
1049,"[1082212, 1043494, 913210, 1000753, 865174]"
1050,"[863447, 983584, 880150, 1106523, 944534]"
1051,"[865026, 921504, 1137775, 964521, 12731714]"
1053,"[971922, 903800, 5578547, 1138443, 1137775]"
1054,"[8090532, 8177622, 999104, 1019247, 6514160]"
1055,"[6533936, 1135834, 8090532, 983584, 1082185]"
1056,"[1038663, 1044188, 1059902, 998206, 1069003]"
1057,"[916990, 892531, 12171656, 1072968, 861279]"
1058,"[1013928, 993638, 986912, 893018, 1025611]"
1060,"[827656, 8090521, 5569230, 1002771, 1110218]"
1061,"[832678, 1127758, 12946027, 1038663, 843464]"
1062,"[1042942, 827656, 957736, 919423, 5569845]"
1064,"[1043494, 8090532, 865174, 1138443, 909714]"
1065,"[1016800, 926905, 1050851, 931255, 850102]"
1066,"[885290, 986912, 835098, 10149640, 896085]"
1067,"[1075368, 8090532, 1132771, 1126899, 1074333]"
1068,"[1025611, 1059902, 999779, 986912, 846823]"
1069,"[904129, 1082185, 989069, 865456, 1058404]"
1070,"[6533936, 1112238, 1038985, 8090536, 960732]"
1071,"[986912, 1057102, 1124695, 946839, 856252]"
1072,"[1103105, 1102067, 1127758, 1128240, 933067]"
1073,"[1082212, 901776, 1019247, 830503, 9835509]"
1074,"[10344585, 6514160, 1074754, 1013167, 940947]"
1075,"[1002850, 10149640, 910673, 823704, 999270]"
1076,"[1034176, 1075368, 8090521, 953561, 1089954]"
1077,"[879504, 12731714, 883932, 893018, 937292]"
1078,"[1126899, 1026118, 1101706, 948832, 1098844]"
1079,"[1043494, 890695, 1000753, 831628, 1070702]"
1080,"[949023, 1067695, 8090537, 12301100, 1138292]"
1081,"[946995, 908318, 5568447, 944836, 8090521]"
1082,"[910473, 1138292, 946839, 5590613, 863447]"
1083,"[8065410, 892531, 12301839, 999270, 1051323]"
1084,"[1122358, 956486, 957736, 961979, 934639]"
1085,"[1040807, 957063, 908318, 874972, 944139]"
1086,"[971922, 963835, 1138443, 832678, 12731714]"
1088,"[832678, 1051211, 982469, 944534, 1068719]"
1089,"[982469, 1138292, 999779, 1068292, 850102]"
1091,"[1075368, 5568489, 1021324, 12302069, 5569230]"
1092,"[1083787, 1098284, 1128016, 850102, 7442008]"
1093,"[1042544, 12302069, 1082185, 1044259, 904129]"
1094,"[983584, 1051323, 1059902, 933835, 998206]"
1095,"[5578547, 944836, 9242918, 951412, 5569471]"
1096,"[1026118, 907099, 999250, 1005274, 1125278]"
1097,"[8090440, 982469, 838186, 6534077, 995478]"
1098,"[5585510, 1102416, 1098284, 901062, 983584]"
1099,"[8090532, 5569471, 8090521, 8090537, 1102416]"
1100,"[910473, 1034176, 849202, 945662, 1029743]"
1101,"[5569374, 1130375, 865456, 5568378, 5569230]"
1102,"[1083787, 906844, 1025611, 1016800, 836445]"
1103,"[1126899, 1136719, 999250, 6602697, 1062128]"
1104,"[1115576, 948832, 865174, 6391381, 956486]"
1105,"[957736, 970747, 5569230, 1029743, 1106523]"
1106,"[1037840, 9881593, 849202, 957951, 8293447]"
1107,"[965766, 8273833, 1082185, 1023720, 930118]"
1109,"[1115576, 856942, 948670, 908318, 1070820]"
1110,"[1031316, 8090539, 1070820, 8090521, 854852]"
1111,"[1082185, 854852, 1021324, 5568197, 5585510]"
1112,"[1075368, 1098284, 1115175, 1043494, 1082185]"
1113,"[1126899, 995478, 1005274, 833724, 865174]"
1114,"[1044188, 8090513, 999198, 12302069, 8090521]"
1116,"[8090509, 8090521, 907631, 1012587, 1042942]"
1117,"[1031316, 879504, 1106523, 5590613, 5587656]"
1119,"[8177622, 8090536, 834117, 1035676, 913210]"
1121,"[9835509, 1070820, 890695, 8090536, 10344585]"
1123,"[986912, 1126899, 8090532, 871756, 5585510]"
1125,"[907099, 6391381, 896085, 997796, 1055504]"
1126,"[1126899, 1082185, 1089954, 917033, 6602729]"
1127,"[1102416, 909268, 5569471, 907631, 896085]"
1128,"[1044188, 935317, 999198, 5592931, 957736]"
1129,"[839656, 1128016, 1021324, 882247, 909714]"
1130,"[1093413, 1137775, 1127758, 993638, 846823]"
1131,"[982469, 1075368, 946995, 7139529, 1074333]"
1133,"[1038985, 1055504, 1002771, 1122358, 1098844]"
1134,"[1070820, 1019643, 948670, 839243, 1106523]"
1135,"[1136719, 1019247, 893018, 944534, 951412]"
1136,"[1137346, 949023, 999779, 1051323, 1083446]"
1137,"[885290, 934639, 1071342, 8020001, 5585510]"
1138,"[1015539, 1059902, 7442008, 957951, 961979]"
1140,"[1048257, 925862, 6602697, 1081177, 9881593]"
1141,"[1056509, 910673, 1022428, 1016800, 5570383]"
1142,"[1108094, 1067695, 878715, 963835, 6602697]"
1143,"[5569230, 957736, 983584, 12349795, 12301405]"
1145,"[1025611, 1094308, 986912, 982469, 1022254]"
1146,"[5569135, 846823, 933067, 1131344, 937292]"
1147,"[1016800, 926905, 1137346, 1134810, 883932]"
1148,"[1026118, 1068292, 999250, 902094, 880150]"
1149,"[1026118, 982469, 857006, 999250, 1082185]"
1151,"[982469, 6602697, 972143, 1122358, 1132771]"
1152,"[8090539, 5574377, 944139, 1021116, 986912]"
1154,"[841365, 949023, 1106523, 983584, 893018]"
1155,"[1016800, 926905, 917033, 907099, 892573]"
1156,"[916993, 1022254, 1070845, 7168026, 1132771]"
1157,"[865705, 1070820, 1121384, 827656, 12301073]"
1158,"[8090536, 948670, 8090521, 1042544, 910473]"
1159,"[8090532, 5585510, 10344585, 6534030, 5568249]"
1160,"[1127758, 12301100, 871756, 910673, 5592931]"
1163,"[1056509, 919534, 910032, 940947, 835098]"
1164,"[1070820, 1062002, 880427, 1080853, 1127179]"
1165,"[5569374, 5569471, 879504, 1132771, 944139]"
1166,"[843464, 946839, 5568447, 839656, 906844]"
1167,"[1062002, 1082212, 1070820, 964521, 9707240]"
1168,"[1040807, 879504, 916993, 1062128, 878715]"
1169,"[1038663, 12946027, 910673, 846823, 1127758]"
1170,"[1062128, 964521, 1034176, 1029743, 1029743]"
1172,"[1102416, 1122358, 1038663, 999779, 916993]"
1173,"[5569471, 5569374, 944836, 12648296, 1070272]"
1174,"[896862, 1012587, 986912, 12731714, 1068719]"
1175,"[1028891, 1075368, 907099, 1055425, 887102]"
1177,"[934639, 1125278, 1026118, 961979, 945662]"
1178,"[8090536, 1104343, 1070272, 1070702, 6463775]"
1179,"[1056509, 971922, 1016800, 1132771, 1101010]"
1180,"[1038985, 5587656, 5590613, 1122358, 1093413]"
1181,"[1037840, 1038663, 1075368, 999779, 925862]"
1182,"[880150, 1016800, 1083446, 999779, 12302069]"
1185,"[1104349, 1083787, 1013928, 1059902, 848319]"
1186,"[5578547, 903800, 1126899, 1057102, 1098844]"
1187,"[910673, 982469, 1013928, 1025611, 890695]"
1188,"[843464, 916990, 1103105, 960613, 892573]"
1189,"[1026118, 1082212, 904997, 1068292, 1082185]"
1190,"[1037840, 8090537, 8090521, 1075214, 12810393]"
1191,"[999104, 890695, 1072968, 1115576, 5569230]"
1192,"[910673, 824180, 5587656, 909714, 966684]"
1193,"[1013928, 8090537, 8090521, 913210, 957951]"
1194,"[910473, 849202, 839419, 993638, 986912]"
1195,"[1075368, 1097001, 8090521, 890695, 12988031]"
1196,"[901062, 1002771, 857503, 909714, 892531]"
1197,"[8090532, 1137775, 8090521, 1002771, 856252]"
1198,"[1092588, 901062, 998444, 1098844, 1005274]"
1201,"[1056509, 907099, 8090537, 999104, 5568489]"
1202,"[906844, 1097001, 8273833, 8293447, 8090536]"
1203,"[982469, 1002771, 1042438, 12302069, 1106523]"
1204,"[926905, 917033, 1097001, 5590613, 1037840]"
1205,"[1075368, 1122358, 972665, 5592931, 1013928]"
1206,"[896862, 849202, 1043751, 1106523, 935317]"
1207,"[5569374, 5568489, 8090509, 1037840, 1075368]"
1208,"[1031316, 1098284, 910473, 998206, 1074333]"
1209,"[5567702, 957951, 986912, 1029743, 1106523]"
1211,"[879504, 972143, 12301073, 1000753, 5585510]"
1213,"[926905, 1121384, 1089954, 940947, 883932]"
1215,"[934399, 880427, 1026118, 865174, 961979]"
1216,"[10344585, 946995, 1040807, 5569471, 921504]"
1217,"[1075368, 944139, 1124695, 1050851, 1083446]"
1218,"[1070820, 1026118, 892531, 906844, 999104]"
1219,"[933067, 1128016, 1105917, 9553288, 901062]"
1221,"[1055504, 1034176, 5585510, 916993, 999104]"
1222,"[1037840, 933835, 1031316, 5570383, 890695]"
1223,"[1021324, 8090521, 982469, 1042544, 1137346]"
1224,"[999779, 953561, 1025611, 1127758, 1138443]"
